stimp,skill,slope_pct,clock,length_ft,rollout_m,n_trials,n_holed,n_runaway,n_off_green,n_miss,n_kept,axis_x,axis_y
10,scratch,1,3,15,0.30,8000,1475,0,0,6525,1512,0.1270,-0.9919
10,scratch,1,6,15,0.40,8000,1455,0,0,6545,1513,-1.0000,0.0000
10,scratch,1,12,15,0.40,8000,1675,0,0,6325,1514,1.0000,0.0000
10,scratch,2,3,15,0.30,8000,1416,0,0,6584,1512,0.2625,-0.9649
10,scratch,2,6,15,0.40,8000,1375,0,0,6625,1514,-1.0000,0.0000
10,scratch,2,12,15,0.30,8000,1805,0,0,6195,1511,1.0000,0.0000
10,scratch,3,3,15,0.40,8000,1407,0,0,6593,1511,0.3700,-0.9290
10,scratch,3,6,15,0.40,8000,1281,0,0,6719,1513,-1.0000,0.0000
10,scratch,3,12,15,0.30,8000,2016,0,0,5984,1510,1.0000,0.0000
10,scratch,4,3,15,0.30,8000,1249,0,0,6751,1510,0.6073,-0.7945
10,scratch,4,6,15,0.40,8000,1274,0,0,6726,1513,-1.0000,0.0000
10,scratch,4,12,15,0.40,8000,2403,0,0,5597,1508,1.0000,0.0000
10,scratch,5,3,15,0.30,8000,1168,0,0,6832,1509,0.8313,-0.5558
10,scratch,5,6,15,0.30,8000,1157,0,0,6843,1512,-1.0000,0.0000
10,scratch,5,12,15,0.40,8000,2950,0,0,5050,1507,1.0000,0.0000
10,scratch,0,12,20,0.20,8000,887,0,0,7113,1509,1.0000,0.0000
10,scratch,1,3,20,0.30,8000,929,0,0,7071,1509,0.1423,-0.9898
10,scratch,1,6,20,0.30,8000,843,0,0,7157,1510,-1.0000,0.0000
10,scratch,1,12,20,0.20,8000,883,0,0,7117,1511,1.0000,0.0000
10,scratch,2,3,20,0.30,8000,887,0,0,7113,1511,0.2938,-0.9559
10,scratch,2,6,20,0.30,8000,829,0,0,7171,1513,-1.0000,0.0000
10,scratch,2,12,20,0.20,8000,974,0,0,7026,1513,1.0000,0.0000
10,scratch,3,3,20,0.30,8000,854,0,0,7146,1510,0.4658,-0.8849
10,scratch,3,6,20,0.30,8000,754,0,0,7246,1510,-1.0000,0.0000
10,scratch,3,12,20,0.30,8000,1205,0,0,6795,1510,1.0000,0.0000
10,scratch,4,3,20,0.30,8000,786,0,0,7214,1512,0.6686,-0.7437
10,scratch,4,6,20,0.30,8000,713,0,0,7287,1512,-1.0000,0.0000
10,scratch,4,12,20,0.30,8000,1455,0,0,6545,1510,1.0000,0.0000
10,scratch,5,3,20,0.20,8000,636,0,0,7364,1514,0.9336,-0.3584
10,scratch,5,6,20,0.30,8000,673,0,0,7327,1511,-1.0000,0.0000
10,scratch,5,12,20,0.30,8000,1779,0,0,6221,1513,1.0000,0.0000
10,mid,0,12,10,0.30,8000,2132,0,0,5868,1512,1.0000,0.0000
10,mid,1,3,10,0.30,8000,2067,0,0,5933,1511,0.1059,-0.9944
10,mid,1,6,10,0.30,8000,1926,0,0,6074,1508,-1.0000,0.0000
10,mid,1,12,10,0.30,8000,2279,0,0,5721,1513,1.0000,0.0000
10,mid,2,3,10,0.30,8000,2022,0,0,5978,1506,0.2190,-0.9757
10,mid,2,6,10,0.30,8000,1914,0,0,6086,1512,-1.0000,0.0000
10,mid,2,12,10,0.30,8000,2413,0,0,5587,1508,1.0000,0.0000
10,mid,3,3,10,0.30,8000,1980,0,0,6020,1510,0.3510,-0.9364
10,mid,3,6,10,0.30,8000,1874,0,0,6126,1511,-1.0000,0.0000
10,mid,3,12,10,0.30,8000,2683,0,0,5317,1506,1.0000,0.0000
10,mid,4,3,10,0.30,8000,1831,0,0,6169,1513,0.5160,-0.8566
10,mid,4,6,10,0.30,8000,1756,0,0,6244,1513,-1.0000,0.0000
10,mid,4,12,10,0.30,8000,3140,0,0,4860,1510,1.0000,0.0000
10,mid,5,3,10,0.30,8000,1653,0,0,6347,1516,0.7368,-0.6761
10,mid,5,6,10,0.30,8000,1643,0,0,6357,1507,-1.0000,0.0000
10,mid,5,12,10,0.30,8000,3787,0,0,4213,1508,1.0000,0.0000
10,mid,0,12,15,0.30,8000,1071,0,0,6929,1511,1.0000,0.0000
10,mid,1,3,15,0.30,8000,1034,0,0,6966,1514,0.1270,-0.9919
10,mid,1,6,15,0.20,8000,959,0,0,7041,1515,-1.0000,0.0000
10,mid,1,12,15,0.30,8000,1154,0,0,6846,1514,1.0000,0.0000
10,mid,2,3,15,0.20,8000,972,0,0,7028,1511,0.3115,-0.9503
10,mid,2,6,15,0.30,8000,938,0,0,7062,1511,-1.0000,0.0000
10,mid,2,12,15,0.20,8000,1190,0,0,6810,1513,1.0000,0.0000
10,mid,3,3,15,0.20,8000,962,0,0,7038,1510,0.4853,-0.8743
