stimp,skill,slope_pct,clock,length_ft,rollout_m,solve_ok,make,make_se,three_plus,exp_strokes,exp_strokes_se,mean_past_miss_m,pct_miss_short,mean_leave_m,de_vs_best,de_pair_se
10,scratch,0,12,10,0.10,true,0.29413,0.00509,0.00054,1.70642,0.00510,0.2245,0.4317,0.2281,0.04998,0.00364
10,scratch,0,12,10,0.20,true,0.33425,0.00527,0.00144,1.66719,0.00529,0.2821,0.2557,0.2771,0.01076,0.00247
10,scratch,0,12,10,0.30,true,0.34713,0.00532,0.00355,1.65643,0.00535,0.3516,0.1333,0.3491,0.00000,0.00000
10,scratch,0,12,10,0.40,true,0.34413,0.00531,0.00761,1.66350,0.00538,0.4310,0.0616,0.4347,0.00707,0.00203
10,scratch,0,12,10,0.50,true,0.33637,0.00528,0.01432,1.67796,0.00541,0.5196,0.0249,0.5287,0.02153,0.00268
10,scratch,0,12,10,0.60,true,0.32462,0.00524,0.02456,1.69998,0.00544,0.6146,0.0093,0.6261,0.04355,0.00307
10,scratch,0,12,10,0.70,true,0.31088,0.00517,0.03857,1.72777,0.00550,0.7120,0.0042,0.7235,0.07134,0.00337
10,scratch,0,12,10,0.80,true,0.29925,0.00512,0.05623,1.75710,0.00557,0.8107,0.0011,0.8226,0.10067,0.00362
10,scratch,0,12,10,0.90,true,0.28350,0.00504,0.07757,1.79425,0.00564,0.9099,0.0002,0.9213,0.13782,0.00390
10,scratch,0,12,10,1.00,true,0.26825,0.00495,0.10189,1.83390,0.00571,1.0098,0.0000,1.0206,0.17747,0.00417
10,scratch,0,12,10,1.10,true,0.25300,0.00486,0.12844,1.87580,0.00578,1.1094,0.0000,1.1195,0.21937,0.00441
10,scratch,0,12,10,1.20,true,0.23938,0.00477,0.15644,1.91754,0.00584,1.2093,0.0000,1.2190,0.26111,0.00463
10,scratch,0,12,15,0.00,true,0.13762,0.00385,0.00323,1.86561,0.00387,0.2593,0.5683,0.3154,0.04585,0.00337
10,scratch,0,12,15,0.10,true,0.16187,0.00412,0.00419,1.84232,0.00414,0.3052,0.4425,0.3296,0.02257,0.00284
10,scratch,0,12,15,0.20,true,0.18025,0.00430,0.00676,1.82653,0.00434,0.3569,0.3237,0.3650,0.00677,0.00208
10,scratch,0,12,15,0.30,true,0.19162,0.00440,0.01136,1.81976,0.00448,0.4184,0.2244,0.4197,0.00000,0.00000
