stimp,skill,slope_pct,clock,length_ft,rollout_m,n_trials,n_holed,n_runaway,n_off_green,n_miss,n_kept,ball_x_m,ball_y_m,axis_x,axis_y
10,tour,2,12,30,0.20,10000,817,0,0,9183,1513,-9.144,0.000,1.0000,0.0000
10,tour,3,3,30,0.10,10000,587,0,0,9413,1512,0.000,9.144,0.7000,-0.7141
10,tour,3,6,30,0.20,10000,526,0,0,9474,1512,9.144,0.000,-1.0000,0.0000
10,tour,3,12,30,0.20,10000,919,0,0,9081,1512,-9.144,0.000,1.0000,0.0000
10,tour,4,3,30,0.10,10000,506,0,0,9494,1511,0.000,9.144,0.8964,-0.4432
10,tour,4,6,30,0.30,10000,547,0,0,9453,1510,9.144,0.000,-1.0000,0.0000
10,tour,4,12,30,0.20,10000,1089,0,0,8911,1509,-9.144,0.000,1.0000,0.0000
10,tour,5,3,30,0.20,10000,528,0,0,9472,1513,0.000,9.144,0.9647,-0.2635
10,tour,5,6,30,0.20,10000,491,0,0,9509,1515,9.144,0.000,-1.0000,0.0000
10,tour,5,12,30,0.20,10000,1427,0,0,8573,1512,-9.144,0.000,1.0000,0.0000
10,tour,0,12,40,0.10,10000,344,0,0,9656,1510,-12.192,0.000,1.0000,0.0000
10,tour,1,3,40,0.00,10000,330,0,0,9670,1513,0.000,12.192,0.4218,-0.9067
10,tour,1,6,40,0.10,10000,345,0,0,9655,1510,12.192,0.000,-1.0000,0.0000
10,tour,1,12,40,0.00,10000,358,0,0,9642,1508,-12.192,0.000,1.0000,0.0000
10,tour,2,3,40,0.00,10000,330,0,0,9670,1511,0.000,12.192,0.7600,-0.6499
10,tour,2,6,40,0.20,10000,309,0,0,9691,1513,12.192,0.000,-1.0000,0.0000
10,tour,2,12,40,0.00,10000,410,0,0,9590,1513,-12.192,0.000,1.0000,0.0000
10,tour,3,3,40,0.10,10000,349,0,0,9651,1514,0.000,12.192,0.7362,-0.6768
10,tour,3,6,40,0.20,10000,288,0,0,9712,1515,12.192,0.000,-1.0000,0.0000
10,tour,3,12,40,0.00,10000,456,0,0,9544,1510,-12.192,0.000,1.0000,0.0000
10,tour,4,3,40,0.00,10000,329,0,0,9671,1510,0.000,12.192,0.9964,-0.0850
10,tour,4,6,40,0.20,10000,267,0,0,9733,1507,12.192,0.000,-1.0000,0.0000
10,tour,4,12,40,0.00,10000,562,0,0,9438,1512,-12.192,0.000,1.0000,0.0000
10,tour,5,3,40,0.10,10000,334,0,0,9666,1512,0.000,12.192,0.9930,-0.1178
10,tour,5,6,40,0.20,10000,246,0,0,9754,1512,12.192,0.000,-1.0000,0.0000
10,tour,5,12,40,0.00,10000,668,0,0,9332,1508,-12.192,0.000,1.0000,0.0000
10,tour,0,12,50,0.00,10000,214,0,0,9786,1512,-15.240,0.000,1.0000,0.0000
10,tour,1,3,50,0.00,10000,211,0,0,9789,1514,0.000,15.240,0.4720,-0.8816
10,tour,1,6,50,0.10,10000,219,0,0,9781,1515,15.240,0.000,-1.0000,0.0000
10,tour,1,12,50,0.00,10000,220,0,0,9780,1511,-15.240,0.000,1.0000,0.0000
10,tour,2,3,50,0.00,10000,209,0,0,9791,1506,0.000,15.240,0.7588,-0.6513
10,tour,2,6,50,0.00,10000,186,0,0,9814,1512,15.240,0.000,-1.0000,0.0000
10,tour,2,12,50,0.00,10000,260,0,0,9740,1511,-15.240,0.000,1.0000,0.0000
10,tour,3,3,50,0.00,10000,225,0,0,9775,1506,0.000,15.240,0.9625,-0.2714
10,tour,3,6,50,0.10,10000,175,0,0,9825,1512,15.240,0.000,-1.0000,0.0000
10,tour,3,12,50,0.00,10000,298,0,0,9702,1512,-15.240,0.000,1.0000,0.0000
10,tour,4,3,50,0.00,10000,214,0,0,9786,1512,0.000,15.240,0.9966,-0.0822
10,tour,4,6,50,0.10,10000,151,0,0,9849,1513,15.240,0.000,-1.0000,0.0000
10,tour,4,12,50,0.00,10000,370,0,0,9630,1512,-15.240,0.000,1.0000,0.0000
10,tour,5,3,50,0.00,10000,222,0,0,9778,1512,0.000,15.240,1.0000,-0.0087
10,tour,5,6,50,0.10,10000,143,0,0,9857,1512,15.240,0.000,-1.0000,0.0000
10,tour,5,12,50,0.00,10000,486,0,0,9514,1513,-15.240,0.000,1.0000,0.0000
10,tour,0,12,60,0.00,10000,137,0,0,9863,1516,-18.288,0.000,1.0000,0.0000
10,tour,1,3,60,0.00,10000,167,0,0,9833,1509,0.000,18.288,0.4822,-0.8761
10,tour,1,6,60,0.00,10000,131,0,0,9869,1513,18.288,0.000,-1.0000,0.0000
10,tour,1,12,60,0.00,10000,148,0,0,9852,1511,-18.288,0.000,1.0000,0.0000
10,tour,2,3,60,0.00,10000,145,0,0,9855,1510,0.000,18.288,0.7626,-0.6468
10,tour,2,6,60,0.00,10000,112,0,0,9888,1517,18.288,0.000,-1.0000,0.0000
10,tour,2,12,60,0.00,10000,150,0,0,9850,1511,-18.288,0.000,1.0000,0.0000
10,tour,3,3,60,0.00,10000,140,0,0,9860,1509,0.000,18.288,0.9661,-0.2582
10,tour,3,6,60,0.00,10000,109,0,0,9891,1510,18.288,0.000,-1.0000,0.0000
10,tour,3,12,60,0.00,10000,206,0,0,9794,1508,-18.288,0.000,1.0000,0.0000
10,tour,4,3,60,0.00,10000,165,0,0,9835,1512,0.000,18.288,0.9976,-0.0690
10,tour,4,6,60,0.10,10000,96,0,0,9904,1515,18.288,0.000,-1.0000,0.0000
10,tour,4,12,60,0.00,10000,263,0,0,9737,1511,-18.288,0.000,1.0000,0.0000
10,tour,5,3,60,0.00,10000,146,0,0,9854,1510,0.000,18.288,1.0000,-0.0074
10,tour,5,6,60,0.10,10000,90,0,0,9910,1508,18.288,0.000,-1.0000,0.0000
10,tour,5,12,60,0.00,10000,315,0,0,9685,1514,-18.288,0.000,1.0000,0.0000
10,tour,0,12,70,0.00,10000,115,0,0,9885,1509,-21.336,0.000,1.0000,0.0000
10,tour,1,3,70,0.00,10000,100,0,0,9900,1512,0.000,21.336,0.4664,-0.8846
10,tour,1,6,70,0.00,10000,93,0,0,9907,1513,21.336,0.000,-1.0000,0.0000
10,tour,1,12,70,0.00,10000,113,0,0,9887,1514,-21.336,0.000,1.0000,0.0000
