stimp,skill,slope_pct,clock,length_ft,rollout_m,solve_ok,make,make_se,three_plus,exp_strokes,exp_strokes_se,mean_past_miss_m,pct_miss_short,mean_leave_m,de_vs_best,de_pair_se
10,tour,0,12,10,0.00,true,0.27000,0.00496,0.00003,1.73003,0.00496,0.1669,0.6368,0.1973,0.12958,0.00479
10,tour,0,12,10,0.10,true,0.33963,0.00529,0.00007,1.66044,0.00530,0.2142,0.4304,0.2137,0.06000,0.00384
10,tour,0,12,10,0.20,true,0.38712,0.00545,0.00026,1.61313,0.00545,0.2744,0.2435,0.2660,0.01269,0.00252
10,tour,0,12,10,0.30,true,0.40037,0.00548,0.00082,1.60045,0.00549,0.3444,0.1149,0.3414,0.00000,0.00000
10,tour,0,12,10,0.40,true,0.39837,0.00547,0.00215,1.60377,0.00549,0.4267,0.0488,0.4298,0.00332,0.00202
10,tour,0,12,10,0.50,true,0.38950,0.00545,0.00487,1.61537,0.00550,0.5164,0.0149,0.5257,0.01492,0.00260
10,tour,0,12,10,0.60,true,0.37362,0.00541,0.00979,1.63617,0.00550,0.6131,0.0062,0.6226,0.03572,0.00300
10,tour,0,12,10,0.70,true,0.35800,0.00536,0.01762,1.65962,0.00552,0.7117,0.0018,0.7215,0.05918,0.00335
10,tour,0,12,10,0.80,true,0.34263,0.00531,0.02896,1.68634,0.00556,0.8107,0.0002,0.8203,0.08589,0.00361
10,tour,0,12,10,0.90,true,0.32775,0.00525,0.04445,1.71670,0.00563,0.9120,0.0000,0.9209,0.11625,0.00387
10,tour,0,12,10,1.00,true,0.31350,0.00519,0.06347,1.74997,0.00571,1.0118,0.0000,1.0200,0.14952,0.00410
10,tour,0,12,10,1.10,true,0.29925,0.00512,0.08599,1.78674,0.00581,1.1120,0.0000,1.1197,0.18629,0.00433
10,tour,0,12,10,1.20,true,0.28313,0.00504,0.11178,1.82865,0.00589,1.2124,0.0000,1.2197,0.22821,0.00459
10,tour,0,12,15,0.00,true,0.16487,0.00415,0.00076,1.83588,0.00415,0.2415,0.5800,0.2884,0.06880,0.00401
10,tour,0,12,15,0.10,true,0.19687,0.00445,0.00103,1.80415,0.00445,0.2890,0.4478,0.3019,0.03707,0.00349
10,tour,0,12,15,0.20,true,0.22025,0.00463,0.00196,1.78171,0.00465,0.3409,0.3166,0.3392,0.01463,0.00280
10,tour,0,12,15,0.30,true,0.23463,0.00474,0.00386,1.76924,0.00476,0.4042,0.2115,0.3973,0.00215,0.00192
10,tour,0,12,15,0.40,true,0.24013,0.00478,0.00721,1.76708,0.00483,0.4748,0.1334,0.4696,0.00000,0.00000
10,tour,0,12,15,0.50,true,0.23988,0.00477,0.01253,1.77265,0.00487,0.5538,0.0802,0.5530,0.00557,0.00179
10,tour,0,12,15,0.60,true,0.23550,0.00474,0.02034,1.78484,0.00489,0.6385,0.0484,0.6414,0.01775,0.00223
10,tour,0,12,15,0.70,true,0.22837,0.00469,0.03114,1.80276,0.00492,0.7282,0.0271,0.7355,0.03568,0.00266
10,tour,0,12,15,0.80,true,0.21863,0.00462,0.04542,1.82680,0.00495,0.8211,0.0141,0.8319,0.05971,0.00299
10,tour,0,12,15,0.90,true,0.20938,0.00455,0.06320,1.85383,0.00499,0.9163,0.0063,0.9298,0.08674,0.00325
10,tour,0,12,15,1.00,true,0.20112,0.00448,0.08421,1.88309,0.00506,1.0151,0.0039,1.0283,0.11601,0.00346
10,tour,0,12,15,1.10,true,0.19050,0.00439,0.10826,1.91776,0.00510,1.1133,0.0019,1.1268,0.15068,0.00370
10,tour,0,12,15,1.20,true,0.18188,0.00431,0.13474,1.95286,0.00517,1.2129,0.0009,1.2262,0.18578,0.00391
10,tour,0,12,20,0.00,true,0.11762,0.00360,0.00355,1.88592,0.00362,0.3137,0.5454,0.3822,0.02460,0.00292
10,tour,0,12,20,0.10,true,0.13150,0.00378,0.00432,1.87282,0.00380,0.3623,0.4459,0.3957,0.01150,0.00237
10,tour,0,12,20,0.20,true,0.14288,0.00391,0.00631,1.86344,0.00395,0.4137,0.3497,0.4263,0.00212,0.00170
10,tour,0,12,20,0.30,true,0.14850,0.00398,0.00982,1.86132,0.00404,0.4729,0.2676,0.4720,0.00000,0.00000
10,tour,0,12,20,0.40,true,0.15338,0.00403,0.01519,1.86181,0.00413,0.5365,0.1965,0.5315,0.00049,0.00161
10,tour,0,12,20,0.50,true,0.15600,0.00406,0.02283,1.86683,0.00421,0.6072,0.1401,0.6029,0.00550,0.00218
10,tour,0,12,20,0.60,true,0.15500,0.00405,0.03297,1.87797,0.00426,0.6809,0.0950,0.6818,0.01664,0.00256
10,tour,0,12,20,0.70,true,0.15288,0.00402,0.04603,1.89315,0.00432,0.7615,0.0629,0.7677,0.03183,0.00287
10,tour,0,12,20,0.80,true,0.14963,0.00399,0.06203,1.91240,0.00439,0.8465,0.0404,0.8578,0.05108,0.00308
10,tour,0,12,20,0.90,true,0.14300,0.00391,0.08109,1.93809,0.00443,0.9345,0.0242,0.9508,0.07677,0.00332
10,tour,0,12,20,1.00,true,0.13562,0.00383,0.10301,1.96739,0.00446,1.0285,0.0161,1.0460,0.10606,0.00354
10,tour,0,12,20,1.10,true,0.13087,0.00377,0.12715,1.99627,0.00453,1.1246,0.0104,1.1434,0.13495,0.00373
10,tour,0,12,20,1.20,true,0.12400,0.00368,0.15359,2.02959,0.00457,1.2208,0.0061,1.2411,0.16826,0.00392
10,scratch,0,12,10,0.00,true,0.23663,0.00475,0.00010,1.76348,0.00475,0.1783,0.6196,0.2125,0.10860,0.00452
10,scratch,0,12,10,0.10,true,0.29413,0.00509,0.00023,1.70611,0.00510,0.2245,0.4317,0.2281,0.05124,0.00363
10,scratch,0,12,10,0.20,true,0.33425,0.00527,0.00071,1.66646,0.00528,0.2821,0.2557,0.2771,0.01159,0.00247
10,scratch,0,12,10,0.30,true,0.34713,0.00532,0.00200,1.65487,0.00534,0.3516,0.1333,0.3491,0.00000,0.00000
10,scratch,0,12,10,0.40,true,0.34413,0.00531,0.00476,1.66064,0.00535,0.4310,0.0616,0.4347,0.00577,0.00203
10,scratch,0,12,10,0.50,true,0.33637,0.00528,0.00974,1.67336,0.00537,0.5196,0.0249,0.5287,0.01849,0.00267
10,scratch,0,12,10,0.60,true,0.32462,0.00524,0.01788,1.69326,0.00539,0.6146,0.0093,0.6261,0.03839,0.00305
10,scratch,0,12,10,0.70,true,0.31088,0.00517,0.02989,1.71901,0.00542,0.7120,0.0042,0.7235,0.06414,0.00334
10,scratch,0,12,10,0.80,true,0.29925,0.00512,0.04598,1.74673,0.00550,0.8107,0.0011,0.8226,0.09185,0.00359
10,scratch,0,12,10,0.90,true,0.28350,0.00504,0.06648,1.78298,0.00556,0.9099,0.0002,0.9213,0.12811,0.00388
10,scratch,0,12,10,1.00,true,0.26825,0.00495,0.09097,1.82272,0.00564,1.0098,0.0000,1.0206,0.16785,0.00415
10,scratch,0,12,10,1.10,true,0.25300,0.00486,0.11876,1.86576,0.00573,1.1094,0.0000,1.1195,0.21088,0.00440
10,scratch,0,12,10,1.20,true,0.23938,0.00477,0.14902,1.90964,0.00581,1.2093,0.0000,1.2190,0.25477,0.00464
10,scratch,0,12,15,0.00,true,0.13762,0.00385,0.00194,1.86432,0.00386,0.2593,0.5683,0.3154,0.04790,0.00336
10,scratch,0,12,15,0.10,true,0.16187,0.00412,0.00263,1.84075,0.00413,0.3052,0.4425,0.3296,0.02434,0.00284
10,scratch,0,12,15,0.20,true,0.18025,0.00430,0.00451,1.82426,0.00433,0.3569,0.3237,0.3650,0.00784,0.00207
10,scratch,0,12,15,0.30,true,0.19162,0.00440,0.00804,1.81641,0.00445,0.4184,0.2244,0.4197,0.00000,0.00000
10,scratch,0,12,15,0.40,true,0.19362,0.00442,0.01371,1.82009,0.00451,0.4870,0.1494,0.4877,0.00367,0.00178
10,scratch,0,12,15,0.50,true,0.19600,0.00444,0.02213,1.82613,0.00459,0.5646,0.0948,0.5687,0.00972,0.00242
10,scratch,0,12,15,0.60,true,0.19312,0.00441,0.03390,1.84077,0.00465,0.6476,0.0596,0.6553,0.02436,0.00276
