stimp,skill,slope_deg,clock,length_ft,rollout_m,solve_ok,make,make_se,three_plus,exp_strokes,exp_strokes_se,mean_past_miss_m,pct_miss_short,mean_leave_m
8,hcp30,1,12,10,0.70,true,0.17012,0.00420,0.23368,2.07040,0.00601,0.8790,0.1517,0.8232
8,hcp30,1,12,10,0.80,true,0.16537,0.00415,0.26890,2.11214,0.00616,0.9600,0.1195,0.9106
8,hcp30,1,12,10,0.90,true,0.15812,0.00408,0.30342,2.15587,0.00626,1.0426,0.0976,0.9967
8,hcp30,1,12,10,1.00,true,0.15438,0.00404,0.33821,2.19670,0.00639,1.1315,0.0785,1.0908
8,hcp30,1,12,10,1.10,true,0.14650,0.00395,0.37342,2.24238,0.00643,1.2191,0.0622,1.1851
8,hcp30,1,12,10,1.20,true,0.14050,0.00389,0.40700,2.28480,0.00648,1.3095,0.0496,1.2815
8,hcp30,1,12,15,0.00,true,0.07612,0.00297,0.16688,2.09556,0.00419,0.6166,0.5478,0.6594
8,hcp30,1,12,15,0.10,true,0.08225,0.00307,0.17539,2.09823,0.00437,0.6666,0.4941,0.6761
8,hcp30,1,12,15,0.20,true,0.08513,0.00312,0.18822,2.10872,0.00452,0.7192,0.4404,0.7027
8,hcp30,1,12,15,0.30,true,0.08787,0.00317,0.20423,2.12273,0.00469,0.7700,0.3856,0.7386
8,hcp30,1,12,15,0.40,true,0.09012,0.00320,0.22296,2.14018,0.00486,0.8298,0.3402,0.7830
8,hcp30,1,12,15,0.50,true,0.09112,0.00322,0.24451,2.16197,0.00502,0.8906,0.2957,0.8353
8,hcp30,1,12,15,0.60,true,0.09062,0.00321,0.26903,2.18853,0.00515,0.9656,0.2623,0.8962
8,hcp30,1,12,15,0.70,true,0.09087,0.00321,0.29397,2.21495,0.00529,1.0377,0.2317,0.9610
8,hcp30,1,12,15,0.80,true,0.08987,0.00320,0.32123,2.24524,0.00541,1.1105,0.2005,1.0331
8,hcp30,1,12,15,0.90,true,0.08962,0.00319,0.34886,2.27538,0.00553,1.1858,0.1734,1.1098
8,hcp30,1,12,15,1.00,true,0.08675,0.00315,0.37660,2.30846,0.00559,1.2589,0.1489,1.1874
8,hcp30,1,12,15,1.10,true,0.08475,0.00311,0.40418,2.34075,0.00565,1.3352,0.1277,1.2690
8,hcp30,1,12,15,1.20,true,0.07950,0.00302,0.43526,2.38038,0.00565,1.4234,0.1093,1.3607
8,hcp30,1,12,20,0.00,true,0.04813,0.00239,0.26169,2.22398,0.00421,0.8105,0.5333,0.8806
8,hcp30,1,12,20,0.10,true,0.04963,0.00243,0.26912,2.23033,0.00429,0.8569,0.4919,0.8955
8,hcp30,1,12,20,0.20,true,0.05212,0.00249,0.27978,2.23918,0.00441,0.9060,0.4481,0.9212
8,hcp30,1,12,20,0.30,true,0.05412,0.00253,0.29245,2.25077,0.00453,0.9610,0.4093,0.9535
8,hcp30,1,12,20,0.40,true,0.05462,0.00254,0.30758,2.26657,0.00463,1.0134,0.3685,0.9931
8,hcp30,1,12,20,0.50,true,0.05412,0.00253,0.32375,2.28462,0.00471,1.0744,0.3365,1.0364
8,hcp30,1,12,20,0.60,true,0.05387,0.00252,0.34203,2.30481,0.00479,1.1420,0.3074,1.0872
8,hcp30,1,12,20,0.70,true,0.05450,0.00254,0.36184,2.32589,0.00490,1.2071,0.2768,1.1448
8,hcp30,1,12,20,0.80,true,0.05262,0.00250,0.38231,2.35031,0.00494,1.2770,0.2533,1.2033
8,hcp30,1,12,20,0.90,true,0.05225,0.00249,0.40416,2.37496,0.00501,1.3424,0.2245,1.2704
8,hcp30,1,12,20,1.00,true,0.05125,0.00247,0.42507,2.39939,0.00506,1.4116,0.2032,1.3364
8,hcp30,1,12,20,1.10,true,0.04913,0.00242,0.44811,2.42749,0.00508,1.4880,0.1827,1.4107
8,hcp30,1,12,20,1.20,true,0.04713,0.00237,0.47021,2.45462,0.00509,1.5589,0.1628,1.4851
8,hcp30,1,3,10,0.00,true,0.10550,0.00343,0.08007,1.97627,0.00402,0.3569,0.5611,0.4508
8,hcp30,1,3,10,0.10,true,0.12462,0.00369,0.08721,1.96453,0.00435,0.4608,0.4757,0.4696
