stimp,skill,slope_deg,clock,length_ft,rollout_m,solve_ok,make,make_se,three_plus,exp_strokes,exp_strokes_se,mean_past_miss_m,pct_miss_short,mean_leave_m
8,scratch,0,12,10,0.80,true,0.26613,0.00494,0.05285,1.78673,0.00534,0.8127,0.0019,0.8236
8,scratch,0,12,10,0.90,true,0.24875,0.00483,0.07390,1.82516,0.00536,0.9119,0.0010,0.9223
8,scratch,0,12,10,1.00,true,0.23225,0.00472,0.09826,1.86603,0.00539,1.0119,0.0007,1.0216
8,scratch,0,12,10,1.10,true,0.21550,0.00460,0.12584,1.91037,0.00542,1.1134,0.0000,1.1230
8,scratch,0,12,10,1.20,true,0.19550,0.00443,0.15601,1.96055,0.00539,1.2144,0.0000,1.2236
8,scratch,0,12,15,0.00,true,0.12712,0.00372,0.00261,1.87548,0.00374,0.2580,0.5616,0.3141
8,scratch,0,12,15,0.10,true,0.15150,0.00401,0.00340,1.85190,0.00403,0.3084,0.4442,0.3289
8,scratch,0,12,15,0.20,true,0.16975,0.00420,0.00563,1.83588,0.00423,0.3582,0.3207,0.3654
8,scratch,0,12,15,0.30,true,0.18050,0.00430,0.00968,1.82918,0.00436,0.4207,0.2257,0.4197
8,scratch,0,12,15,0.40,true,0.18563,0.00435,0.01615,1.83053,0.00445,0.4910,0.1521,0.4891
8,scratch,0,12,15,0.50,true,0.18300,0.00432,0.02546,1.84247,0.00449,0.5668,0.0975,0.5686
8,scratch,0,12,15,0.60,true,0.17763,0.00427,0.03785,1.86023,0.00452,0.6461,0.0572,0.6547
8,scratch,0,12,15,0.70,true,0.17037,0.00420,0.05357,1.88320,0.00455,0.7346,0.0351,0.7461
8,scratch,0,12,15,0.80,true,0.16325,0.00413,0.07243,1.90920,0.00458,0.8248,0.0193,0.8406
8,scratch,0,12,15,0.90,true,0.15313,0.00403,0.09457,1.94146,0.00460,0.9191,0.0102,0.9373
8,scratch,0,12,15,1.00,true,0.14188,0.00390,0.11942,1.97757,0.00459,1.0163,0.0064,1.0344
8,scratch,0,12,15,1.10,true,0.13225,0.00379,0.14656,2.01435,0.00460,1.1151,0.0042,1.1328
8,scratch,0,12,15,1.20,true,0.12112,0.00365,0.17591,2.05484,0.00458,1.2142,0.0024,1.2320
8,scratch,0,12,20,0.00,true,0.07625,0.00297,0.00977,1.93352,0.00301,0.3477,0.5352,0.4199
8,scratch,0,12,20,0.10,true,0.08650,0.00314,0.01170,1.92520,0.00320,0.3896,0.4361,0.4348
8,scratch,0,12,20,0.20,true,0.09663,0.00330,0.01574,1.91911,0.00339,0.4417,0.3498,0.4660
8,scratch,0,12,20,0.30,true,0.10312,0.00340,0.02218,1.91905,0.00353,0.4963,0.2663,0.5128
8,scratch,0,12,20,0.40,true,0.10237,0.00339,0.03115,1.92878,0.00357,0.5599,0.2033,0.5692
8,scratch,0,12,20,0.50,true,0.10300,0.00340,0.04305,1.94006,0.00365,0.6278,0.1463,0.6389
8,scratch,0,12,20,0.60,true,0.10013,0.00336,0.05793,1.95782,0.00370,0.6993,0.0992,0.7165
8,scratch,0,12,20,0.70,true,0.09738,0.00331,0.07546,1.97810,0.00375,0.7792,0.0679,0.7999
8,scratch,0,12,20,0.80,true,0.09300,0.00325,0.09560,2.00263,0.00379,0.8636,0.0456,0.8879
8,scratch,0,12,20,0.90,true,0.08837,0.00317,0.11812,2.02978,0.00383,0.9494,0.0277,0.9791
8,scratch,0,12,20,1.00,true,0.08188,0.00307,0.14315,2.06133,0.00383,1.0417,0.0176,1.0734
8,scratch,0,12,20,1.10,true,0.07550,0.00295,0.16992,2.09448,0.00382,1.1351,0.0110,1.1681
8,scratch,0,12,20,1.20,true,0.06975,0.00285,0.19820,2.12853,0.00382,1.2319,0.0074,1.2647
8,mid,0,12,10,0.00,true,0.18600,0.00435,0.00114,1.81514,0.00436,0.1925,0.5891,0.2369
8,mid,0,12,10,0.10,true,0.22550,0.00467,0.00189,1.77639,0.00468,0.2380,0.4078,0.2564
8,mid,0,12,10,0.20,true,0.24838,0.00483,0.00417,1.75579,0.00486,0.2947,0.2516,0.3036
8,mid,0,12,10,0.30,true,0.25425,0.00487,0.00866,1.75441,0.00493,0.3639,0.1475,0.3701
8,mid,0,12,10,0.40,true,0.24963,0.00484,0.01651,1.76689,0.00496,0.4432,0.0826,0.4507
8,mid,0,12,10,0.50,true,0.24250,0.00479,0.02851,1.78602,0.00500,0.5285,0.0396,0.5414
8,mid,0,12,10,0.60,true,0.22950,0.00470,0.04517,1.81569,0.00503,0.6190,0.0198,0.6342
8,mid,0,12,10,0.70,true,0.21788,0.00462,0.06652,1.84868,0.00508,0.7137,0.0101,0.7299
8,mid,0,12,10,0.80,true,0.20287,0.00450,0.09283,1.89001,0.00512,0.8104,0.0042,0.8276
8,mid,0,12,10,0.90,true,0.18900,0.00438,0.12300,1.93409,0.00516,0.9090,0.0017,0.9263
8,mid,0,12,10,1.00,true,0.17275,0.00423,0.15682,1.98421,0.00517,1.0095,0.0012,1.0258
8,mid,0,12,10,1.10,true,0.15950,0.00409,0.19239,2.03308,0.00519,1.1103,0.0007,1.1260
8,mid,0,12,10,1.20,true,0.14150,0.00390,0.23049,2.08926,0.00512,1.2104,0.0001,1.2260
8,mid,0,12,15,0.00,true,0.09287,0.00325,0.00930,1.91643,0.00329,0.2814,0.5483,0.3625
8,mid,0,12,15,0.10,true,0.10787,0.00347,0.01122,1.90335,0.00353,0.3315,0.4414,0.3782
8,mid,0,12,15,0.20,true,0.11950,0.00363,0.01623,1.89673,0.00372,0.3824,0.3322,0.4134
8,mid,0,12,15,0.30,true,0.12712,0.00372,0.02437,1.89726,0.00387,0.4419,0.2442,0.4635
8,mid,0,12,15,0.40,true,0.13012,0.00376,0.03624,1.90613,0.00398,0.5086,0.1729,0.5275
8,mid,0,12,15,0.50,true,0.12925,0.00375,0.05181,1.92259,0.00407,0.5804,0.1187,0.6007
8,mid,0,12,15,0.60,true,0.12662,0.00372,0.07115,1.94457,0.00416,0.6563,0.0763,0.6819
8,mid,0,12,15,0.70,true,0.12200,0.00366,0.09446,1.97254,0.00423,0.7393,0.0474,0.7694
8,mid,0,12,15,0.80,true,0.11588,0.00358,0.12128,2.00551,0.00429,0.8299,0.0314,0.8611
8,mid,0,12,15,0.90,true,0.10762,0.00346,0.15093,2.04345,0.00431,0.9194,0.0181,0.9541
8,mid,0,12,15,1.00,true,0.09988,0.00335,0.18297,2.08330,0.00433,1.0134,0.0101,1.0499
8,mid,0,12,15,1.10,true,0.09237,0.00324,0.21656,2.12446,0.00434,1.1106,0.0067,1.1464
8,mid,0,12,15,1.20,true,0.08275,0.00308,0.25208,2.16969,0.00429,1.2091,0.0046,1.2442
8,mid,0,12,20,0.00,true,0.05025,0.00244,0.03167,1.98143,0.00261,0.3782,0.5278,0.5001
8,mid,0,12,20,0.10,true,0.05625,0.00258,0.03546,1.97922,0.00277,0.4215,0.4395,0.5165
8,mid,0,12,20,0.20,true,0.06212,0.00270,0.04274,1.98064,0.00294,0.4717,0.3588,0.5471
8,mid,0,12,20,0.30,true,0.06713,0.00280,0.05368,1.98659,0.00311,0.5261,0.2834,0.5915
8,mid,0,12,20,0.40,true,0.06575,0.00277,0.06827,2.00257,0.00318,0.5844,0.2185,0.6446
