stimp,skill,slope_pct,clock,length_ft,rollout_m,solve_ok,make,make_se,three_plus,exp_strokes,exp_strokes_se,mean_past_miss_m,pct_miss_short,mean_leave_m,de_vs_best,de_pair_se
10,scratch,0,12,10,0.10,true,0.29113,0.00508,0.00022,1.70910,0.00508,0.2221,0.4105,0.2294,0.04738,0.00360
10,scratch,0,12,10,0.20,true,0.32788,0.00525,0.00068,1.67280,0.00525,0.2827,0.2414,0.2804,0.01108,0.00235
10,scratch,0,12,10,0.30,true,0.34025,0.00530,0.00197,1.66172,0.00531,0.3542,0.1271,0.3532,0.00000,0.00000
10,scratch,0,12,10,0.40,true,0.34075,0.00530,0.00469,1.66394,0.00534,0.4370,0.0639,0.4396,0.00222,0.00192
10,scratch,0,12,10,0.50,true,0.33137,0.00526,0.00963,1.67826,0.00534,0.5269,0.0303,0.5332,0.01654,0.00254
10,scratch,0,12,10,0.60,true,0.32075,0.00522,0.01736,1.69661,0.00536,0.6198,0.0132,0.6292,0.03489,0.00290
10,scratch,0,12,10,0.70,true,0.30538,0.00515,0.02844,1.72306,0.00538,0.7164,0.0052,0.7273,0.06135,0.00325
10,scratch,0,12,10,0.80,true,0.28950,0.00507,0.04297,1.75347,0.00541,0.8150,0.0026,0.8256,0.09176,0.00354
10,scratch,0,12,10,0.90,true,0.27625,0.00500,0.06084,1.78459,0.00546,0.9143,0.0010,0.9249,0.12287,0.00379
10,scratch,0,12,10,1.00,true,0.26238,0.00492,0.08201,1.81964,0.00552,1.0135,0.0002,1.0240,0.15793,0.00404
10,scratch,0,12,10,1.10,true,0.25038,0.00484,0.10607,1.85571,0.00560,1.1138,0.0002,1.1237,0.19399,0.00426
10,scratch,0,12,10,1.20,true,0.23738,0.00476,0.13311,1.89576,0.00567,1.2148,0.0000,1.2244,0.23404,0.00448
10,scratch,0,12,15,0.00,true,0.13887,0.00387,0.00204,1.86317,0.00388,0.2562,0.5642,0.3149,0.04260,0.00371
10,scratch,0,12,15,0.10,true,0.16237,0.00412,0.00268,1.84031,0.00414,0.3013,0.4350,0.3296,0.01974,0.00316
10,scratch,0,12,15,0.20,true,0.17613,0.00426,0.00452,1.82840,0.00429,0.3578,0.3226,0.3656,0.00783,0.00253
10,scratch,0,12,15,0.30,true,0.18500,0.00434,0.00783,1.82283,0.00439,0.4196,0.2275,0.4190,0.00227,0.00180
10,scratch,0,12,15,0.40,true,0.19262,0.00441,0.01319,1.82057,0.00450,0.4885,0.1500,0.4887,0.00000,0.00000
10,scratch,0,12,15,0.50,true,0.19150,0.00440,0.02089,1.82940,0.00454,0.5657,0.0993,0.5671,0.00883,0.00158
10,scratch,0,12,15,0.60,true,0.19087,0.00439,0.03151,1.84064,0.00460,0.6467,0.0592,0.6547,0.02007,0.00212
10,scratch,0,12,15,0.70,true,0.18438,0.00434,0.04516,1.86079,0.00463,0.7328,0.0340,0.7460,0.04022,0.00251
