green,pin_x_m,pin_y_m,stimp,skill,mode,hour,ball_x_m,ball_y_m,dist_ft,slope_at_pin_pct,rollout_m,status,make,make_se,three_plus,exp_strokes,exp_strokes_se,off_green_pct,mean_past_miss_m,pct_miss_short,mean_leave_m,de_vs_best,de_pair_se
hole_01,0.000,0.000,10,tour,fall,1,-5.385,2.856,20.00,1.38,0.00,ok,0.10712,0.00346,0.00510,1.89798,0.00348,0.00000,0.3267,0.5488,0.3980,0.03422,0.00376
hole_01,0.000,0.000,10,tour,fall,1,-5.385,2.856,20.00,1.38,0.10,ok,0.12575,0.00371,0.00637,1.88062,0.00374,0.00000,0.3798,0.4471,0.4105,0.01687,0.00310
hole_01,0.000,0.000,10,tour,fall,1,-5.385,2.856,20.00,1.38,0.20,ok,0.13912,0.00387,0.00910,1.86998,0.00392,0.00000,0.4321,0.3591,0.4397,0.00623,0.00249
hole_01,0.000,0.000,10,tour,fall,1,-5.385,2.856,20.00,1.38,0.30,ok,0.14938,0.00399,0.01356,1.86419,0.00407,0.00000,0.4881,0.2755,0.4849,0.00044,0.00179
hole_01,0.000,0.000,10,tour,fall,1,-5.385,2.856,20.00,1.38,0.40,ok,0.15600,0.00406,0.01975,1.86375,0.00418,0.00000,0.5510,0.2084,0.5421,0.00000,0.00000
hole_01,0.000,0.000,10,tour,fall,1,-5.385,2.856,20.00,1.38,0.50,ok,0.15563,0.00405,0.02849,1.87286,0.00423,0.00000,0.6181,0.1498,0.6109,0.00911,0.00172
hole_01,0.000,0.000,10,tour,fall,1,-5.385,2.856,20.00,1.38,0.60,ok,0.15588,0.00406,0.03955,1.88368,0.00431,0.00000,0.6923,0.1074,0.6875,0.01993,0.00221
hole_01,0.000,0.000,10,tour,fall,1,-5.385,2.856,20.00,1.38,0.70,ok,0.15588,0.00406,0.05298,1.89711,0.00440,0.00000,0.7706,0.0742,0.7706,0.03336,0.00258
hole_01,0.000,0.000,10,tour,fall,1,-5.385,2.856,20.00,1.38,0.80,ok,0.15238,0.00402,0.06897,1.91660,0.00445,0.00000,0.8548,0.0515,0.8586,0.05285,0.00289
hole_01,0.000,0.000,10,tour,fall,1,-5.385,2.856,20.00,1.38,0.90,ok,0.14763,0.00397,0.08744,1.93982,0.00451,0.00000,0.9415,0.0340,0.9500,0.07607,0.00313
hole_01,0.000,0.000,10,tour,fall,1,-5.385,2.856,20.00,1.38,1.00,ok,0.14363,0.00392,0.10769,1.96406,0.00457,0.00000,1.0313,0.0219,1.0440,0.10031,0.00335
hole_01,0.000,0.000,10,tour,fall,1,-5.385,2.856,20.00,1.38,1.10,ok,0.13900,0.00387,0.12987,1.99087,0.00463,0.00000,1.1243,0.0144,1.1393,0.12712,0.00350
hole_01,0.000,0.000,10,tour,fall,1,-5.385,2.856,20.00,1.38,1.20,ok,0.13387,0.00381,0.15361,2.01974,0.00469,0.00000,1.2194,0.0092,1.2362,0.15599,0.00367
hole_01,0.000,0.000,10,mid,fall,1,-5.385,2.856,20.00,1.38,0.00,ok,0.05937,0.00264,0.03180,1.97244,0.00282,0.00000,0.3881,0.5443,0.5182,0.00256,0.00184
hole_01,0.000,0.000,10,mid,fall,1,-5.385,2.856,20.00,1.38,0.10,ok,0.06613,0.00278,0.03599,1.96987,0.00298,0.00000,0.4390,0.4599,0.5305,0.00000,0.00000
hole_01,0.000,0.000,10,mid,fall,1,-5.385,2.856,20.00,1.38,0.20,ok,0.07325,0.00291,0.04327,1.97003,0.00317,0.00000,0.4877,0.3837,0.5564,0.00016,0.00151
hole_01,0.000,0.000,10,mid,fall,1,-5.385,2.856,20.00,1.38,0.30,ok,0.07687,0.00298,0.05380,1.97694,0.00330,0.00000,0.5407,0.3127,0.5941,0.00707,0.00212
hole_01,0.000,0.000,10,mid,fall,1,-5.385,2.856,20.00,1.38,0.40,ok,0.07900,0.00302,0.06716,1.98818,0.00343,0.00000,0.5976,0.2526,0.6410,0.01831,0.00244
hole_01,0.000,0.000,10,mid,fall,1,-5.385,2.856,20.00,1.38,0.50,ok,0.08175,0.00306,0.08420,2.00248,0.00359,0.00000,0.6585,0.1951,0.7007,0.03261,0.00277
hole_01,0.000,0.000,10,mid,fall,1,-5.385,2.856,20.00,1.38,0.60,ok,0.08075,0.00305,0.10419,2.02348,0.00369,0.00000,0.7267,0.1512,0.7672,0.05361,0.00305
hole_01,0.000,0.000,10,mid,fall,1,-5.385,2.856,20.00,1.38,0.70,ok,0.08263,0.00308,0.12652,2.04395,0.00385,0.00000,0.7989,0.1138,0.8421,0.07408,0.00335
hole_01,0.000,0.000,10,mid,fall,1,-5.385,2.856,20.00,1.38,0.80,ok,0.08088,0.00305,0.15163,2.07083,0.00396,0.00000,0.8741,0.0835,0.9215,0.10096,0.00357
hole_01,0.000,0.000,10,mid,fall,1,-5.385,2.856,20.00,1.38,0.90,ok,0.07900,0.00302,0.17898,2.10009,0.00405,0.00000,0.9553,0.0616,1.0055,0.13021,0.00375
hole_01,0.000,0.000,10,mid,fall,1,-5.385,2.856,20.00,1.38,1.00,ok,0.07750,0.00299,0.20821,2.13085,0.00416,0.00000,1.0409,0.0451,1.0938,0.16097,0.00394
hole_01,0.000,0.000,10,mid,fall,1,-5.385,2.856,20.00,1.38,1.10,ok,0.07362,0.00292,0.23891,2.16548,0.00421,0.00000,1.1259,0.0309,1.1833,0.19560,0.00407
hole_01,0.000,0.000,10,mid,fall,1,-5.385,2.856,20.00,1.38,1.20,ok,0.07112,0.00287,0.27007,2.19919,0.00427,0.00000,1.2151,0.0217,1.2749,0.22931,0.00421
